Income,Age,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,TotalExpenditure,predicted_disposableincome
44637.24963568593,49,Self_Employed,Tier_1,13391.174890705775,0.0,2206.490129258186,6658.768340572072,2636.9706962044347,1651.8017262162875,1536.1842554984205,2911.792230881923,1546.9145393077706,0.0,831.5251201893564,13.890948127514209,6200.537192442157,11265.6277068517,33371.621928834225,11265.627706851701
26858.596591729543,55,Retired,Tier_2,5371.719318345909,0.0,869.522616973343,2818.444460208314,1543.018777757239,649.378102691658,1050.241737526573,1626.1433462348405,1137.3513250935068,1551.723167073342,564.2350071403704,7.160375737936883,1923.1764339045449,9676.818732684447,17181.777859045094,9676.818732684449
50367.60508357677,19,Student,Tier_3,7555.140762536515,4612.103386494076,2201.80004994864,6313.222080930132,3221.396403447025,1513.814375754018,1723.3069258963044,3368.457107630641,2178.5158473219,3160.0262993703845,628.3712199568122,13.9978075391687,7050.360421687626,13891.450624290315,36476.15445928645,13891.450624290315
101455.6002469913,21,Self_Employed,Tier_3,15218.340037048692,6809.441426747919,4889.418087072337,14690.149362877528,7106.13000500776,5040.249157842395,2858.1942402624245,6128.5503866316585,4571.118216513439,0.0,2526.0557123260573,16.45543971526684,16694.965136405768,31617.95361466108,69837.64663233022,31617.953614661077
24875.28354773196,52,Professional,Tier_2,4975.056709546392,3112.6093984226027,635.90717006727,3034.3296645448127,1276.1551627316926,692.8272250153346,660.1868515437461,1092.6890239734755,1169.0958159721715,1445.2156935520268,515.5103002593428,7.533982196578117,1874.099433834452,6265.700532103096,18609.583015628865,6265.700532103096
24875.61026730744,57,Self_Employed,Tier_2,4975.122053461488,0.0,1038.2309962500822,3250.0677560648446,1760.1648115834282,1049.0674532807411,751.0168146471772,1024.3097649089866,1022.2954389405938,2003.8520351331745,402.2178433867344,5.9442415409980445,1478.6663590860635,7599.265299650189,17276.34496765725,7599.265299650189
106119.69276166476,53,Self_Employed,Tier_2,21223.938552332955,0.0,4360.20271016577,12790.390693134332,6345.738035731931,4390.9051043167165,2626.7716291812085,6202.549938283066,3807.098561946348,0.0,2776.7718136754547,17.338501566220952,18399.564591550105,41595.32572289698,64524.36703876778,41595.32572289698
55431.34150830326,40,Professional,Tier_2,11086.268301660652,8307.702220408508,1755.439820438597,8194.482409804936,3353.001888004895,1741.913581746191,1219.684252046555,2361.9758927458674,2574.449980700129,5520.436851603138,850.0417120514694,11.972313337769307,6636.413892703046,8465.944597092319,46965.39691121094,8465.944597092319
20606.733120766687,74,Retired,Tier_1,6182.019936230005,3562.488826158373,1018.5899396507028,3066.867219909219,1170.7906657213473,688.059837660429,418.23381565559583,921.2327170937116,830.2370548088703,1939.2265470814748,446.06868836859496,6.304983639055541,362.9178724283629,362.9178724283629,20243.815248338324,362.9178724283629
46304.79023459725,22,Student,Tier_2,9260.95804691945,0.0,2130.2548254922986,5065.627031541116,2500.0548471092625,2040.3106657836288,1016.6131635998316,2945.4335609918926,1649.7575140341282,3085.991146873468,919.533156236054,12.126401429533283,5615.1047449505895,15690.256276016116,30614.53395858113,15690.256276016116
